scenario,factor_a,factor_b,state_a,state_b,observations,down_pct,flat_pct,up_pct,outcome_separation,mean_return_5d,median_return_5d
CHOPPY,change_pct,intelligence_score,HIGH,HIGH,443,48.75846501128668,15.124153498871332,36.11738148984199,33.63431151241535,-0.5233097065462753,-0.4251
CHOPPY,relative_strength,momentum_score,LOW,HIGH,149,46.97986577181208,13.422818791946309,39.59731543624161,33.55704697986577,-0.3019731543624161,-0.3404
TREND_DOWN,change_pct,trend_score,HIGH,HIGH,1211,39.71924029727498,13.37737407101569,46.903385631709334,33.52601156069364,0.2948581337737407,0.2772
TREND_DOWN,relative_strength,trend_score,LOW,HIGH,1116,39.247311827956985,13.620071684587815,47.132616487455195,33.51254480286738,0.16637706093189963,0.2662
TREND_DOWN,momentum_score,liquidity_score,HIGH,LOW,729,46.09053497942387,12.620027434842248,41.289437585733886,33.470507544581615,-0.21838737997256516,-0.1809
TREND_UP,intelligence_score,trend_score,LOW,LOW,1306,36.447166921898926,15.084226646248085,48.46860643185298,33.3843797856049,0.5921177641653905,0.40290000000000004
CHOPPY,change_pct,trend_score,HIGH,LOW,303,49.834983498349835,16.5016501650165,33.663366336633665,33.33333333333333,-0.34632211221122117,-0.498
CHOPPY,intelligence_score,momentum_score,LOW,HIGH,283,47.70318021201413,14.487632508833922,37.80918727915194,33.21554770318021,-0.1946759717314487,-0.3796
LOW_VOL,change_pct,trend_score,LOW,LOW,232,33.189655172413794,16.810344827586206,50.0,33.189655172413794,0.47441336206896545,0.49050000000000005
CHOPPY,intelligence_score,momentum_score,HIGH,HIGH,477,47.58909853249476,14.465408805031446,37.9454926624738,33.123689727463315,-0.44776037735849056,-0.3387
TREND_UP,change_pct,momentum_score,LOW,HIGH,311,43.729903536977496,11.57556270096463,44.69453376205787,33.11897106109324,-0.07124662379421226,0.0704
TREND_DOWN,change_pct,intelligence_score,HIGH,HIGH,1243,40.54706355591311,13.193885760257443,46.25905068382944,33.065164923572,0.30996323411102167,0.2188
CHOPPY,relative_strength,momentum_score,HIGH,HIGH,611,47.79050736497545,14.729950900163665,37.47954173486088,33.06055646481178,-0.36609001636661215,-0.3387
CHOPPY,intelligence_score,liquidity_score,LOW,HIGH,345,46.95652173913044,13.91304347826087,39.130434782608695,33.04347826086956,-0.3176753623188406,-0.283
TREND_UP,change_pct,relative_strength,HIGH,LOW,345,37.391304347826086,14.782608695652174,47.82608695652174,33.04347826086956,0.5430753623188406,0.361
CHOPPY,trend_score,liquidity_score,LOW,HIGH,433,48.26789838337183,15.242494226327944,36.489607390300236,33.02540415704388,-0.43638591224018475,-0.4011
TREND_UP,intelligence_score,liquidity_score,LOW,HIGH,842,41.09263657957244,12.945368171021377,45.96199524940617,33.0166270783848,0.29304441805225656,0.131
FLAT,relative_strength,trend_score,HIGH,HIGH,100,45.0,12.0,43.0,33.0,0.14118299999999995,0.23664999999999997
TREND_UP,relative_strength,liquidity_score,HIGH,HIGH,1204,45.59800664451827,12.624584717607974,41.777408637873755,32.9734219269103,-0.02529285714285711,-0.0408
TREND_UP,trend_score,volatility_score,HIGH,LOW,1329,46.27539503386004,13.31828442437923,40.40632054176072,32.95711060948081,-0.21591008276899926,-0.1693
CHOPPY,relative_strength,liquidity_score,LOW,HIGH,468,46.794871794871796,13.88888888888889,39.31623931623932,32.9059829059829,-0.2754399572649573,-0.3096
TREND_UP,relative_strength,liquidity_score,LOW,HIGH,1234,40.680713128038896,13.209076175040519,46.11021069692058,32.90113452188007,0.16358970826580224,0.2018
