scenario,factor_a,factor_b,state_a,state_b,target_outcome,episodes,total_observations,target_consistency_pct,positive_uplift_pct,positive_return_pct,mean_target_uplift_pct,median_target_uplift_pct,worst_target_uplift_pct,mean_return_5d,median_return_5d,worst_episode_mean_return_5d,best_episode_mean_return_5d,return_positive_minus_negative_balance,decision,research_status
TREND_DOWN,relative_strength,volatility_score,HIGH,LOW,DOWN,8,1241,62.5,62.5,62.5,1.0072170916276502,2.278177849587408,-21.470478807132036,0.24231490903402986,0.2777937826736371,-1.7806059523809523,2.5886094736842105,2.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_UP,trend_score,volatility_score,LOW,HIGH,DOWN,6,277,50.0,50.0,66.66666666666666,1.0335499593631952,-2.1013931888544874,-13.475240677860736,0.24164475474642863,0.39952923976608196,-0.7206799999999999,1.0715416666666666,2.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
CHOPPY,change_pct,trend_score,HIGH,LOW,DOWN,6,259,66.66666666666666,66.66666666666666,50.0,2.3571259358589685,3.308164922751125,-24.61097461097462,0.24037097858885467,-0.0594344805194805,-2.357084375,3.9098454545454544,0.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,change_pct,momentum_score,HIGH,HIGH,DOWN,8,1087,50.0,50.0,62.5,0.427999145981639,-2.1237550697393583,-20.30088816385718,0.23830073606409824,0.19695219587835128,-2.1724553571428573,2.260592105263158,2.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,momentum_score,liquidity_score,HIGH,HIGH,DOWN,8,769,62.5,62.5,62.5,3.4286116993920333,5.251340116422874,-18.07866594163496,0.2353698797077698,0.19335971631205665,-1.6215609589041098,2.13722,2.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,intelligence_score,liquidity_score,HIGH,HIGH,UP,8,1025,62.5,50.0,62.5,0.5945568217769064,0.5423146560876617,-16.7460729279683,0.23205323531086997,0.37881012478729437,-1.0750213740458014,2.051944537815126,2.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,change_pct,volatility_score,HIGH,LOW,DOWN,8,1027,62.5,62.5,62.5,0.7784817665334631,2.6083758069698284,-23.168271676401982,0.22667971577103463,0.35221024267703105,-2.298093382352941,2.593195698924731,2.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,change_pct,trend_score,HIGH,LOW,DOWN,8,765,50.0,50.0,50.0,1.602401973077491,-4.028018851025788,-23.66722007009777,0.22628531704042149,0.089458117866294,-2.476092116182573,3.4031038461538468,0.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,change_pct,liquidity_score,HIGH,HIGH,DOWN,8,917,50.0,50.0,62.5,0.4990237920429248,2.1353552070700417,-19.580375253549697,0.22077130794921285,0.3447899341425619,-1.757432085561497,1.91566320754717,2.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,momentum_score,liquidity_score,HIGH,LOW,DOWN,8,429,50.0,37.5,62.5,-0.12595703132566527,-7.140590086574376,-30.793039986615362,0.21933531115307414,0.26755136363636356,-3.131475,3.3629325581395357,2.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,change_pct,relative_strength,HIGH,LOW,DOWN,6,228,50.0,50.0,66.66666666666666,-0.3690135035556465,0.030369884245345702,-24.665967528936545,0.21675084776334783,0.4350690476190476,-2.059311363636364,1.8804166666666668,2.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
CHOPPY,change_pct,trend_score,LOW,HIGH,DOWN,5,233,60.0,60.0,40.0,-1.26873018776758,3.5264930001772044,-12.372838887496869,0.21325465292877058,-0.3146745098039216,-0.9124888888888888,1.5358542857142856,-1.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,volatility_score,liquidity_score,LOW,LOW,DOWN,8,818,62.5,62.5,50.0,4.089884018084778,6.8408975258649,-27.542511445389145,0.20894016713772845,-0.37406722856825997,-1.652819011406844,3.287215909090909,0.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
CHOPPY,trend_score,liquidity_score,LOW,LOW,DOWN,6,187,50.0,33.33333333333333,66.66666666666666,0.8118951975483846,-5.855585023930965,-11.93339500462535,0.19953535383118157,0.1977788461538461,-2.703897368421053,2.002608695652174,2.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
