scenario_id,primary_scenario,fingerprint,candidate,scenario_observations,candidate_oos_dates,overlap_oos_dates,overlap_pct_of_scenario,current_oos_windows,target_oos_windows,queue_priority,queue_action,research_priority,methodology_min_observations,execution_readiness,readiness_reason
UNEXPLORED_46,CHOPPY,9e7e6af0fb384ff0,TRACK_C_FACTOR_INTERACTION,2,0,0,0.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,140,BLOCKED_NO_HOLDOUT,Track-C adapter requires 140 chronological observations; scenario has only 2.
UNEXPLORED_46,CHOPPY,9e7e6af0fb384ff0,TRACK_C_REGIME_AWARE,2,0,0,0.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,140,BLOCKED_NO_HOLDOUT,Track-C adapter requires 140 chronological observations; scenario has only 2.
UNEXPLORED_46,CHOPPY,9e7e6af0fb384ff0,TRACK_C_SCENARIO_WEAPON,2,0,0,0.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,140,BLOCKED_NO_HOLDOUT,Track-C adapter requires 140 chronological observations; scenario has only 2.
UNEXPLORED_1,FLAT,32a9608b9489497d,TRACK_B_BASELINE_FAILURE,1,100,0,0.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,20,BLOCKED_NO_HOLDOUT,Only 0 exact overlapping OOS dates; existing Track-B holdout path requires >=20 observations.
UNEXPLORED_1,FLAT,32a9608b9489497d,TRACK_B_CONDITIONAL_SCORE,1,100,0,0.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,20,BLOCKED_NO_HOLDOUT,Only 0 exact overlapping OOS dates; existing Track-B holdout path requires >=20 observations.
UNEXPLORED_1,FLAT,32a9608b9489497d,TRACK_B_FACTOR_AGREEMENT,1,100,0,0.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,20,BLOCKED_NO_HOLDOUT,Only 0 exact overlapping OOS dates; existing Track-B holdout path requires >=20 observations.
UNEXPLORED_1,FLAT,32a9608b9489497d,TRACK_C_FACTOR_INTERACTION,1,0,0,0.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,140,BLOCKED_NO_HOLDOUT,Track-C adapter requires 140 chronological observations; scenario has only 1.
UNEXPLORED_1,FLAT,32a9608b9489497d,TRACK_C_REGIME_AWARE,1,0,0,0.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,140,BLOCKED_NO_HOLDOUT,Track-C adapter requires 140 chronological observations; scenario has only 1.
UNEXPLORED_1,FLAT,32a9608b9489497d,TRACK_C_SCENARIO_WEAPON,1,0,0,0.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,140,BLOCKED_NO_HOLDOUT,Track-C adapter requires 140 chronological observations; scenario has only 1.
UNEXPLORED_11,FLAT,6df105900ba2225b,TRACK_B_BASELINE_FAILURE,1,100,0,0.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,20,BLOCKED_NO_HOLDOUT,Only 0 exact overlapping OOS dates; existing Track-B holdout path requires >=20 observations.
UNEXPLORED_11,FLAT,6df105900ba2225b,TRACK_B_CONDITIONAL_SCORE,1,100,0,0.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,20,BLOCKED_NO_HOLDOUT,Only 0 exact overlapping OOS dates; existing Track-B holdout path requires >=20 observations.
UNEXPLORED_11,FLAT,6df105900ba2225b,TRACK_B_FACTOR_AGREEMENT,1,100,0,0.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,20,BLOCKED_NO_HOLDOUT,Only 0 exact overlapping OOS dates; existing Track-B holdout path requires >=20 observations.
UNEXPLORED_11,FLAT,6df105900ba2225b,TRACK_C_FACTOR_INTERACTION,1,0,0,0.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,140,BLOCKED_NO_HOLDOUT,Track-C adapter requires 140 chronological observations; scenario has only 1.
UNEXPLORED_11,FLAT,6df105900ba2225b,TRACK_C_REGIME_AWARE,1,0,0,0.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,140,BLOCKED_NO_HOLDOUT,Track-C adapter requires 140 chronological observations; scenario has only 1.
