id_x,trade_date,symbol,sector,change_pct,sector_strength,position_pct,total_score,intelligence_score,created_at,rank,grade,id_y,return_1d,return_5d,return_10d,return_20d,success_1d,success_5d,success_10d,success_20d,strong_win,strong_loss,top10_pick,top20_pick,future_direction
20485,2026-02-09,BEL.NS,POWER,1.78,1.78,82.39,86.53061224489797,80.61224489795919,2026-06-16 15:55:14,7,B,27225,0.0,0.1600731763091673,0.5602561170820921,5.957008918362683,0,1,1,1,1,0,1,1,BULLISH
20537,2026-02-10,M&M.NS,AUTO,1.83,1.244,84.08,79.59183673469389,75.10204081632654,2026-06-16 15:55:14,12,C,33442,-0.02448446596659478,-5.076445943740148,-6.599923826105892,-13.809238805158069,0,0,0,0,0,1,0,1,BEARISH
20681,2026-02-13,SBILIFE.NS,FINANCIALS,0.6,-0.21166666666666675,80.5,77.24489795918367,76.73469387755102,2026-06-16 15:55:14,17,C,35258,0.40310687248058424,2.251499360928127,0.14747812407826172,-6.144921836594238,1,1,1,0,0,1,0,1,BEARISH
20928,2026-02-20,HINDALCO.NS,METALS,3.32,1.7850000000000001,76.91,88.06122448979592,81.02040816326532,2026-06-16 15:55:15,1,A,30860,-2.0840012824623275,-1.175590467030031,1.031313455167252,-10.2009190980015,0,0,1,0,0,1,1,1,BEARISH
21028,2026-02-24,BPCL.NS,ENERGY,0.63,0.6839999999999999,82.71,79.79591836734694,75.71428571428571,2026-06-16 15:55:15,10,C,27754,1.762585124849786,-4.8204032581119005,-13.192682601148345,-24.008545867271994,1,0,0,0,0,1,1,1,BEARISH
21219,2026-03-02,HINDALCO.NS,METALS,1.65,0.054999999999999966,78.04,82.95918367346938,79.38775510204081,2026-06-16 15:55:15,2,B,30866,-1.9361702127659624,1.765957446808513,-0.3563829787234067,-2.5265957446808507,0,1,0,0,0,0,1,1,BEARISH
21279,2026-03-04,COALINDIA.NS,METALS,2.09,-2.7249999999999996,75.96,71.53061224489795,75.51020408163265,2026-06-16 15:55:15,6,B,28536,3.2747328507411235,2.6657474434103237,4.607606572446286,5.60726186372516,1,1,1,1,1,0,1,1,BULLISH
21318,2026-03-05,HINDALCO.NS,METALS,3.6,2.9275,81.94,88.87755102040816,83.87755102040816,2026-06-16 15:55:15,2,A,30868,0.41363422168699215,1.5498193622702712,-6.063144667260075,-0.04712288601497937,1,1,0,0,0,0,1,1,BEARISH
21319,2026-03-05,TATASTEEL.NS,METALS,1.95,2.9275,76.83,87.65306122448979,81.22448979591837,2026-06-16 15:55:15,5,B,36566,-1.0520017948845717,-3.5399112529291488,-5.015705240065814,-1.2165328812883272,0,0,0,0,0,0,1,1,BEARISH
21369,2026-03-06,POWERGRID.NS,ENERGY,-0.1,0.10200000000000005,84.77,83.06122448979592,84.89795918367346,2026-06-16 15:55:15,3,B,34754,-1.3204078221627908,0.6017048303526698,-0.5181347150258916,-1.4374059836202424,0,1,0,0,0,0,1,1,BEARISH
21373,2026-03-06,HINDALCO.NS,METALS,0.41,-0.9450000000000001,82.98,71.12244897959184,76.12244897959184,2026-06-16 15:55:15,5,B,30869,-1.4130774846177865,-5.094378975909899,-8.827823547815203,-0.7404317447074797,0,0,0,0,0,0,1,1,BEARISH
21423,2026-03-09,APOLLOHOSP.NS,PHARMA,0.71,0.03749999999999999,80.88,70.71428571428571,78.57142857142857,2026-06-16 15:55:15,1,B,25690,0.3085229463941381,-3.7151304794960796,-8.150147833911813,-3.8243990230106695,1,0,0,0,0,0,1,1,BEARISH
21522,2026-03-11,HINDALCO.NS,METALS,0.26,-0.5175,83.03,75.81632653061224,79.18367346938776,2026-06-16 15:55:15,5,B,30872,1.1104160150140734,-2.7160879991658917,-9.430716296527999,1.9966635387342275,1,0,0,1,0,0,1,1,BULLISH
21565,2026-03-12,ONGC.NS,ENERGY,-0.07,0.976,77.1,80.20408163265306,81.02040816326532,2026-06-16 15:55:15,13,C,34499,-2.384032526335239,-0.5359452966179962,4.213638883755304,6.301977453335801,0,0,1,1,1,0,0,1,BULLISH
21713,2026-03-17,HINDALCO.NS,METALS,1.68,2.1325,77.16,77.65306122448979,81.42857142857143,2026-06-16 15:55:16,5,B,30876,-0.3843484759515318,-8.754604174451503,-2.177974697058664,8.391608391608395,0,0,0,1,1,0,1,1,BULLISH
21721,2026-03-17,SHRIRAMFIN.NS,FINANCIALS,1.27,0.9033333333333333,81.24,67.65306122448979,75.10204081632654,2026-06-16 15:55:16,7,B,35797,1.6922158072864821,-10.053752737407923,-11.248258013139557,4.036432410909821,1,0,0,1,0,0,1,1,BULLISH
21767,2026-03-18,SHRIRAMFIN.NS,FINANCIALS,1.69,1.6933333333333334,84.43,70.71428571428572,78.36734693877551,2026-06-16 15:55:16,4,B,35798,-7.028191072826945,-6.421299921691466,-9.162098668754897,2.319890368050111,0,0,0,1,0,0,1,1,BULLISH
21865,2026-03-20,SUNPHARMA.NS,PHARMA,1.87,1.68,79.69,69.48979591836735,77.14285714285714,2026-06-16 15:55:16,4,B,36059,-1.0522761802937268,-1.1198019244837019,-3.516965843227731,-5.458330988689438,0,0,0,0,0,1,1,1,BEARISH
21866,2026-03-20,DRREDDY.NS,PHARMA,1.91,1.68,76.84,68.46938775510205,75.91836734693878,2026-06-16 15:55:16,6,C,28807,-3.510662868581117,-3.387481715297559,-8.276233736238355,2.471321887751167,0,0,0,1,0,0,1,1,BULLISH
22055,2026-03-27,NTPC.NS,ENERGY,-0.73,-0.292,79.32,79.18367346938776,83.9795918367347,2026-06-16 15:55:16,10,C,34250,-1.331026221216558,-1.8101956608545067,4.512178889924144,6.828164514840952,0,0,1,1,1,0,1,1,BULLISH
22354,2026-04-08,AXISBANK.NS,BANKING,6.63,5.286666666666666,80.44,72.55102040816327,78.77551020408163,2026-06-16 15:55:16,5,B,26227,-1.0877719429857464,1.2453113278319512,2.7456864216053947,-3.023255813953485,0,1,1,0,0,0,1,1,BEARISH
22399,2026-04-09,POWERGRID.NS,ENERGY,1.1,0.364,82.8,80.61224489795919,83.46938775510205,2026-06-16 15:55:16,7,B,34775,1.5598792351559803,6.709158000670916,6.138879570613872,5.317007715531688,1,1,1,1,1,0,1,1,BULLISH
22401,2026-04-09,JSWSTEEL.NS,METALS,1.29,1.6075,75.9,78.06122448979592,80.20408163265307,2026-06-16 15:55:16,2,B,32703,0.4215921302802272,2.529552781681401,3.802595684880549,5.629494916094892,1,1,1,1,1,0,1,1,BULLISH
22544,2026-04-15,ADANIPORTS.NS,INFRASTRUCTURE,3.17,3.13,78.36,78.06122448979592,78.77551020408163,2026-06-16 15:55:17,1,B,25454,2.5135599947082947,5.0800370419367615,9.875644926577587,14.949067336949332,1,1,1,1,1,0,1,1,BULLISH
22644,2026-04-17,NESTLEIND.NS,FMCG,2.24,1.9028571428571428,80.74,76.93877551020408,77.75510204081633,2026-06-16 15:55:17,1,B,34003,0.06222775357810998,10.55538270068451,13.456751711263223,11.271001866832615,1,1,1,1,1,0,1,1,BULLISH
